17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=true, explain='门派', fieldType='string', name='sectionName', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=true, explain='联盟', fieldType='string', name='allianceName', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='int64', name='id', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='string', name='name', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='string', name='head', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=true, explain='性别', fieldType='int8', name='sex', baseField=true, list=false, capacity=16}
17:24:02.392 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=true, explain='内功等级', fieldType='int32', name='neigongLv', baseField=true, list=false, capacity=16}
17:24:02.392 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=true, explain='等级', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
17:24:02.392 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='int64', name='taozhuangId', baseField=true, list=false, capacity=16}
17:24:02.392 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='int64', name='chenghaoId', baseField=true, list=false, capacity=16}
17:24:02.392 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='int64', name='lianYaoLv', baseField=true, list=false, capacity=16}
17:24:02.392 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='int64', name='duanzaoLv', baseField=true, list=false, capacity=16}
17:24:02.392 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='int64', name='weiwang', baseField=true, list=false, capacity=16}
17:24:02.393 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='int64', name='zhengyi', baseField=true, list=false, capacity=16}
17:24:02.393 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='int64', name='xiee', baseField=true, list=false, capacity=16}
17:24:02.393 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=true, explain='门派', fieldType='string', name='sectionName', baseField=true, list=false, capacity=16}
17:24:02.393 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=true, explain='联盟', fieldType='string', name='allianceName', baseField=true, list=false, capacity=16}
17:24:02.393 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerFore2 Field{hasExplain=false, explain='null', fieldType='p_states_double', name='fightAttribute', baseField=false, list=true, capacity=16}
17:24:02.393 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA StatesInt Field{hasExplain=false, explain='null', fieldType='int32', name='key', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA StatesInt Field{hasExplain=false, explain='null', fieldType='int32', name='value', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA StatesLong Field{hasExplain=false, explain='null', fieldType='int32', name='key', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA StatesLong Field{hasExplain=false, explain='null', fieldType='int64', name='value', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA StatesDouble Field{hasExplain=false, explain='null', fieldType='int32', name='key', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA StatesDouble Field{hasExplain=false, explain='null', fieldType='double', name='value', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Award Field{hasExplain=false, explain='null', fieldType='int32', name='reasonType', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Award Field{hasExplain=false, explain='null', fieldType='int32', name='state', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Award Field{hasExplain=false, explain='null', fieldType='int64', name='money', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Award Field{hasExplain=false, explain='null', fieldType='int32', name='gold', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Award Field{hasExplain=false, explain='null', fieldType='int32', name='levelExp', baseField=true, list=false, capacity=16}
17:24:02.394 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Award Field{hasExplain=true, explain='空', fieldType='int32', name='temp', baseField=true, list=false, capacity=16}
17:24:02.395 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Award Field{hasExplain=false, explain='null', fieldType='int32', name='itemList', baseField=true, list=true, capacity=16}
17:24:02.395 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Award Field{hasExplain=true, explain='属性', fieldType='int64', name='attributes', baseField=true, list=true, capacity=16}
17:24:02.395 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Prop Field{hasExplain=false, explain='null', fieldType='int64', name='id', baseField=true, list=false, capacity=16}
17:24:02.395 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Prop Field{hasExplain=false, explain='null', fieldType='int32', name='sid', baseField=true, list=false, capacity=16}
17:24:02.395 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Prop Field{hasExplain=false, explain='null', fieldType='int32', name='count', baseField=true, list=false, capacity=16}
17:24:02.395 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Prop Field{hasExplain=false, explain='null', fieldType='int32', name='star', baseField=true, list=false, capacity=16}
17:24:02.395 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Prop Field{hasExplain=false, explain='null', fieldType='int64', name='overTime', baseField=true, list=false, capacity=16}
